"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","reports","0","DTR communication report","1","0","DTR communication — missing toDate is rejected","0"
"0","dashboard","0","Dashboard — consumers by meter make","1","0","Consumers by meter make — extra unused filters are ignored","0"
"0","mis-dashboard","0","Voltage problems","1","0","Voltage problems — dtrs is treated as DTR meters","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 5 events — hour by hour, DTR meters only","0"
"0","utils-lookup","0","Utils lookup — missing routes","1","0","TODs — missing route returns 404","0"
"0","consumers","0","Live voltage and current","1","0","Live voltage and current — opens using the meter","0"
"0","mis-dashboard","0","Talking meters by category","1","0","Talking meters by category — network 0 is rejected","0"
"0","mis-dashboard","0","Events that did not roll over","1","0","Events that did not roll over — a missing grouping is rejected","0"
"0","commericial-analysis","0","Commercial Analysis — invalid filters are rejected","1","0","Load Factor — month 13 is rejected (month must be 1 to 12)","0"
"0","asset-management","0","Asset Management — DB Coverage","0","1","API counts and spot checks align with PostgreSQL","0"
"0","dashboard","0","Dashboard — DTR loading list","1","0","Saved example — high-load DTRs empty page","0"
"0","dtrs","0","DTR profile","1","0","Sample profile — no recent activity is allowed","0"
"0","mis-dashboard","0","Voltage problems","1","0","Voltage problems — organisation 0 is rejected","0"
"0","reports","0","DTR communication report","1","0","DTR communication — missing fromDate is rejected","0"
"0","mis-dashboard","0","Power problems","1","0","Power problems — by meter type, hour by hour, DTR meters only","0"
"0","technical-analysis","0","Technical report","0","1","Technical report — first and last page have no duplicate meters › Low Voltage in any Phase report — first and last page have no duplicate meters","0"
"0","mis-dashboard","0","Urgency level 1 events (extra check)","0","1","Urgency level 1 events — month by month (extra check)","0"
"0","consumption","0","CONSUMPTION — Contract Snapshots","0","1","Hourly Consumption Contract Snapshot","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 3 events — dtrs is treated as DTR meters","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 6 events — week by week, consumer meters only","0"
"0","mis-dashboard","0","Events that did not roll over","1","0","Events that did not roll over — by meter type, week by week, DTR meters only","0"
"0","modules-permissions","0","Module Permission — Negative","1","0","POST /permissions/modules/:id/permissions — duplicate permission key returns 409 or 400","0"
"0","mis-dashboard","0","How many meters we have","1","0","How many meters we have — extra unused options are ignored","0"
"0","dashboard","0","Dashboard — response shape","1","0","Consumers by category — response shape stays the same","0"
"0","mis-dashboard","0","How meters are talking","1","0","How meters are talking — unknown meter kind is treated as all","0"
"0","asset-management","0","Asset Management — Negative","1","0","GET /asset-management/dtr/:id — invalid pagination params","0"
"0","utils-lookup","0","Utils lookup — contract snapshots","1","0","Consumer categories — field names stay the same","0"
"0","consumption","0","Consumption API — Negative","1","0","Pattern consumption — month thirteen is rejected","0"
"0","users-admin","0","User Admin — Negative","1","0","DELETE /users/:id/devices/:deviceId — unknown device returns 404","0"
"0","commericial-analysis","0","Maximum Demand report","1","0","Sanction Load Violation — report opens and demand is above sanctioned load","0"
"0","mis-dashboard","0","Meter transaction events","1","0","Meter transaction events — a missing grouping is rejected","0"
"0","commericial-analysis","0","Commercial Analysis — invalid filters are rejected","1","0","Consumption Pattern — unknown report type is rejected","0"
"0","billing","0","Monthly billing list","1","0","Monthly billing — first page still lists meters when the grand total is turned off","0"
"0","reports","0","DTR billing report","1","0","DTR billing — includeTotal still shows the same columns","0"
"0","reports","0","Reports — contract snapshots","1","0","DTR event detail — column and field names stay the same","0"
"0","reports","0","Event report","1","0","Event report — invalid fromDate is rejected","0"
"0","reports","0","Billing MD snapshot report","1","0","Billing MD snapshot — Oct 2025 fixture (total 0 with rows)","0"
"0","meter-replacement","1","Meter Replacement Consumer Search API","0","0","Validate Meter Replacement Consumer Search API","0"
"0","feeder","0","Feeder — unusual cases","1","0","Feeder alerts — asking for one event at a time still returns a row","0"
"0","dashboard","0","Dashboard — DTR voltage unbalance list","1","0","Saved example — moderate empty page","0"
"0","commericial-analysis","0","Consumption Pattern report","1","0","Consumption Pattern — Zero Consumption: household and non-household lists are the same (connection type filter is not applied)","0"
"0","reports","0","Consumer report","1","0","Consumer report DP — Oct 2025 fixture","0"
"0","utils-lookup","0","indoore_backend_testing","1","0","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Network search › Network search — limit 0 is rejected","0"
"0","reports","0","DTR event report","1","0","DTR event — missing toDate is rejected","0"
"0","dashboard","0","Dashboard — DTR communication list","1","0","DTR communication list — meters that are communicating","0"
"0","mis-dashboard","0","Current problems","1","0","Current problems — by meter type, day by day, DTR meters only","0"
"0","consumers","0","Power quality","1","0","Power quality — sample: single-phase meter","0"
"0","auth","0","Auth Sent Invitations List API","1","0","Validate sent invitations list — status=expired","0"
"0","mis-dashboard","0","Talking vs not talking overview","1","0","Talking vs not talking overview — all meters equals consumer plus DTR","0"
"0","mis-dashboard","0","Other events","1","0","Other events — by meter type, month by month, DTR meters only","0"
"0","dashboard","0","Consumers by category — cannot open without a valid login","1","0","cannot open with a badly formed login token","0"
"0","hes-commands","0","HES Commands — Profile Config (E2E)","1","0","Validate POST /commands/profile-config → query-meter-job — profile_capture_period_get E2E","0"
"0","reports","0","Event restoration report","1","0","Event restoration — showing 1 per page returns at most 1 record","0"
"0","mis-dashboard","0","Other events","1","0","Other events — by consumer category, day by day, all meters","0"
"0","reports","0","Reports — contract snapshots","1","0","Min-max voltage — column and field names stay the same","0"
"0","dashboard","0","Consumers by meter phase — cannot open without a valid login","1","0","cannot open with an expired login token","0"
"0","reports","0","Billing MD snapshot report","1","0","Billing MD snapshot — invalid year is rejected","0"
"0","dtr-load","0","Transformer load reports","1","0","Transformer load — leaving out the start date is rejected","0"
"0","consumers","0","Energy flow chart","1","0","Energy flow chart — weekly view","0"
"0","mis-dashboard","0","Talking meters by category","1","0","Talking meters by category — consumer and DTR stay within all meters","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 2 events — week by week, consumer meters only","0"
"0","mis-dashboard","0","Voltage problems","1","0","Voltage problems — by consumer category, day by day, all meters","0"
"0","mis-dashboard","0","How meters are talking","1","0","How meters are talking — dtrs is treated as DTR meters","0"
"0","consumption","0","Consumption API — Edge","1","0","Daily consumption — page 2 continues without repeating a meter","0"
"0","dtrs","0","DTR loading gauge","1","0","Sample loading gauge — kVA values without a rated size percent","0"
"0","reports","0","Event restoration report","1","0","Event restoration — 1–30 Oct 2025 first page shows columns and occurrences","0"
"0","mis-dashboard","0","Meter transaction events","1","0","Meter transaction events — by meter type, day by day, consumer meters only","0"
"0","meter-replacement","0","Meter Replacement Submission Detail API — Auth Negative","1","0","Disallowed HTTP methods are rejected","0"
"0","master-data","0","Master data — column names in the response","1","0","DTR list — column names in the response stay the same","0"
"0","consumers","0","Can this meter be given to a consumer?","1","0","Can this meter be given to a consumer? — office filter is optional","0"
"0","mis-dashboard","0","Event summary","1","0","Event summary — by meter type, week by week, consumer meters only","0"
"0","dashboard","0","Dashboard overview — cannot open without a valid login","1","0","cannot open with an invalid login token","0"
"0","revenue-protection","0","Revenue Protection — Cases DB cross-validation","0","1","IND-RPT-DB-003 — Circle/division/zone exist in org master","0"
"0","consumption","0","Consumption API — Negative","1","0","Daily consumption — start date after end date is rejected","0"
"0","dtrs","0","DTR energy over time","1","0","Sample chart — days with no energy yet","0"
"0","utils-lookup","0","indoore_backend_testing","1","0","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Consumer search › Consumer search — limit 0 is rejected","0"
"0","reports","0","Event detail report","1","0","Event detail — invalid fromDate is rejected","0"
"0","meter-replacement","0","METER-REPLACEMENT — DB Coverage","0","1","IND-MR-DB-001 — Dashboard / consumer / meter / history / submission vs DB","0"
"0","consumption","0","Night-time consumption list","1","0","Night-time consumption — first page lists each consumer (night/day use may be empty)","0"
"0","mis-dashboard","0","Voltage problems","1","0","Voltage problems — extra unused options are ignored","0"
"0","consumers","0","Event summary","1","0","Event summary — opens using the meter","0"
"0","technical-analysis","0","Technical report","0","1","Technical report — missing analysis type is rejected","0"
"0","dashboard","0","Dashboard — DTR communication list","1","0","Saved example — meters that are communicating with hierarchy row","0"
"0","master-data","0","Master data — meter communication","1","0","Meter communication — page 2 shows the next set of records","0"
"0","mis-dashboard","0","Meter transaction events","1","0","Meter transaction events — an invalid time range is rejected","0"
"0","mis-dashboard","0","Daily talking chart","1","0","Daily talking chart — no dates uses today","0"
"0","reports","0","Communication DTRs report","1","0","Communication DTRs — Oct 2025 month fixture","0"
"0","audit-logs","0","AUDIT-LOGS — DB Coverage","0","1","IND-AUD-DB-001 — list total ≤ DB + row spot by id","0"
"0","feeder","0","Feeder — unusual cases","1","0","Feeder daily energy — month-by-month kWh (an empty chart is still OK)","0"
"0","utils-lookup","0","indoore_backend_testing","1","0","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Events › events — ids and names are unique","0"
"0","consumers","0","Live load","1","0","Live load — sample: three-phase load","0"
"0","billing","0","Day-by-day billing list","1","0","Day-by-day billing — leaving out the month is rejected","0"
"0","dashboard","0","DTR load unbalance list — cannot open without a valid login","1","0","cannot open with an empty login token","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 6 events — month by month, all meters","0"
"0","mis-dashboard","0","Urgency level events","1","0","Urgency level 6 events — day by day, consumer meters only","0"
"0","commericial-analysis","0","Consumption Pattern report","1","0","Consumption Pattern — Zero Consumption for Last 9 months (household): billing data is not ready yet","0"
"0","other","0","indoore_backend_testing","1","0","core › __tests__ › dedupe-serials.util › dedupeMeterSerials removes duplicates and blanks","0"
"0","consumers","0","Can this meter be given to a consumer?","1","0","Can this meter be given to a consumer? — meter already on another consumer is rejected","0"
"0","dashboard","0","Dashboard — DTR loading list","1","0","DTR loading list — page 2 still shows a valid list","0"
