"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","893","DTR communication — missing toDate is rejected","reports","2026-09-15","passed","2026-09-15","DTR communication — missing toDate is rejected","DTR communication report","dtrcommunication",""
"","2758","Consumers by meter make — extra unused filters are ignored","dashboard","2026-09-15","passed","2026-09-15","Consumers by meter make — extra unused filters are ignored","Dashboard — consumers by meter make","consumeroemdistribution",""
"","1222","Voltage problems — dtrs is treated as DTR meters","mis-dashboard","2026-09-15","passed","2026-09-15","Voltage problems — dtrs is treated as DTR meters","Voltage problems","eventdatavoltage",""
"","486","Urgency level 5 events — hour by hour, DTR meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency level 5 events — hour by hour, DTR meters only","Urgency level events","eventpriority",""
"","1818","TODs — missing route returns 404","utils-lookup","2026-09-15","passed","2026-09-15","TODs — missing route returns 404","Utils lookup — missing routes","missing-routes",""
"","1791","Live voltage and current — opens using the meter","consumers","2026-09-15","passed","2026-09-15","Live voltage and current — opens using the meter","Live voltage and current","realtimepower",""
"","1025","Talking meters by category — network 0 is rejected","mis-dashboard","2026-09-15","passed","2026-09-15","Talking meters by category — network 0 is rejected","Talking meters by category","communication-category",""
"","239","Events that did not roll over — a missing grouping is rejected","mis-dashboard","2026-09-15","passed","2026-09-15","Events that did not roll over — a missing grouping is rejected","Events that did not roll over","eventdatanonrollover",""
"","234","Load Factor — month 13 is rejected (month must be 1 to 12)","commericial-analysis","2026-09-15","passed","2026-09-15","Load Factor — month 13 is rejected (month must be 1 to 12)","Commercial Analysis — invalid filters are rejected","commercial-negative",""
"","60","API counts and spot checks align with PostgreSQL","asset-management","2026-09-15","skipped","2026-09-15","API counts and spot checks align with PostgreSQL","Asset Management — DB Coverage","asset-management.db",""
"","22","Saved example — high-load DTRs empty page","dashboard","2026-09-15","passed","2026-09-15","Saved example — high-load DTRs empty page","Dashboard — DTR loading list","dtrpercentageloadingdetails",""
"","67","Sample profile — no recent activity is allowed","dtrs","2026-09-15","passed","2026-09-15","Sample profile — no recent activity is allowed","DTR profile","dtrprofile",""
"","240","Voltage problems — organisation 0 is rejected","mis-dashboard","2026-09-15","passed","2026-09-15","Voltage problems — organisation 0 is rejected","Voltage problems","eventdatavoltage",""
"","1804","DTR communication — missing fromDate is rejected","reports","2026-09-15","passed","2026-09-15","DTR communication — missing fromDate is rejected","DTR communication report","dtrcommunication",""
"","437","Power problems — by meter type, hour by hour, DTR meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Power problems — by meter type, hour by hour, DTR meters only","Power problems","eventdatapower",""
"","12","Low Voltage in any Phase report — first and last page have no duplicate meters","technical-analysis","2026-09-15","skipped","2026-09-15","Technical report — first and last page have no duplicate meters › Low Voltage in any Phase report — first and last page have no duplicate meters","Technical report","technicalanalysis",""
"","0","Urgency level 1 events — month by month (extra check)","mis-dashboard","2026-09-15","skipped","2026-09-15","Urgency level 1 events — month by month (extra check)","Urgency level 1 events (extra check)","eventpriority1",""
"","1147","Hourly Consumption Contract Snapshot","consumption","2026-09-15","skipped","2026-09-15","Hourly Consumption Contract Snapshot","CONSUMPTION — Contract Snapshots","consumption.contract",""
"","1199","Urgency level 3 events — dtrs is treated as DTR meters","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency level 3 events — dtrs is treated as DTR meters","Urgency level events","eventpriority",""
"","291","Urgency level 6 events — week by week, consumer meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency level 6 events — week by week, consumer meters only","Urgency level events","eventpriority",""
"","300","Events that did not roll over — by meter type, week by week, DTR meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Events that did not roll over — by meter type, week by week, DTR meters only","Events that did not roll over","eventdatanonrollover",""
"","2217","POST /permissions/modules/:id/permissions — duplicate permission key returns 409 or 400","modules-permissions","2026-09-15","passed","2026-09-15","POST /permissions/modules/:id/permissions — duplicate permission key returns 409 or 400","Module Permission — Negative","modulepermission-negative",""
"","249","How many meters we have — extra unused options are ignored","mis-dashboard","2026-09-15","passed","2026-09-15","How many meters we have — extra unused options are ignored","How many meters we have","communicationstats",""
"","1895","Consumers by category — response shape stays the same","dashboard","2026-09-15","passed","2026-09-15","Consumers by category — response shape stays the same","Dashboard — response shape","dashboard.contract",""
"","349","How meters are talking — unknown meter kind is treated as all","mis-dashboard","2026-09-15","passed","2026-09-15","How meters are talking — unknown meter kind is treated as all","How meters are talking","communication",""
"","721","GET /asset-management/dtr/:id — invalid pagination params","asset-management","2026-09-15","passed","2026-09-15","GET /asset-management/dtr/:id — invalid pagination params","Asset Management — Negative","asset-management-negative",""
"","392","Consumer categories — field names stay the same","utils-lookup","2026-09-15","passed","2026-09-15","Consumer categories — field names stay the same","Utils lookup — contract snapshots","utils-lookup.contract",""
"","237","Pattern consumption — month thirteen is rejected","consumption","2026-09-15","passed","2026-09-15","Pattern consumption — month thirteen is rejected","Consumption API — Negative","consumption-negative",""
"","1085","DELETE /users/:id/devices/:deviceId — unknown device returns 404","users-admin","2026-09-15","passed","2026-09-15","DELETE /users/:id/devices/:deviceId — unknown device returns 404","User Admin — Negative","useradmin-negative",""
"","318","Sanction Load Violation — report opens and demand is above sanctioned load","commericial-analysis","2026-09-15","passed","2026-09-15","Sanction Load Violation — report opens and demand is above sanctioned load","Maximum Demand report","mdanalysis",""
"","238","Meter transaction events — a missing grouping is rejected","mis-dashboard","2026-09-15","passed","2026-09-15","Meter transaction events — a missing grouping is rejected","Meter transaction events","eventdatatransaction",""
"","234","Consumption Pattern — unknown report type is rejected","commericial-analysis","2026-09-15","passed","2026-09-15","Consumption Pattern — unknown report type is rejected","Commercial Analysis — invalid filters are rejected","commercial-negative",""
"","3887","Monthly billing — first page still lists meters when the grand total is turned off","billing","2026-09-15","passed","2026-09-15","Monthly billing — first page still lists meters when the grand total is turned off","Monthly billing list","billingdata",""
"","1340","DTR billing — includeTotal still shows the same columns","reports","2026-09-15","passed","2026-09-15","DTR billing — includeTotal still shows the same columns","DTR billing report","dtrbilling",""
"","667","DTR event detail — column and field names stay the same","reports","2026-09-15","passed","2026-09-15","DTR event detail — column and field names stay the same","Reports — contract snapshots","reports.contract",""
"","1682","Event report — invalid fromDate is rejected","reports","2026-09-15","passed","2026-09-15","Event report — invalid fromDate is rejected","Event report","eventreport",""
"","79","Billing MD snapshot — Oct 2025 fixture (total 0 with rows)","reports","2026-09-15","passed","2026-09-15","Billing MD snapshot — Oct 2025 fixture (total 0 with rows)","Billing MD snapshot report","billingmdsnapshot",""
"","8259","Validate Meter Replacement Consumer Search API","meter-replacement","2026-09-15","failed","2026-09-15","Validate Meter Replacement Consumer Search API","Meter Replacement Consumer Search API","consumer-search",""
"","241","Feeder alerts — asking for one event at a time still returns a row","feeder","2026-09-15","passed","2026-09-15","Feeder alerts — asking for one event at a time still returns a row","Feeder — unusual cases","feeder-edge",""
"","29","Saved example — moderate empty page","dashboard","2026-09-15","passed","2026-09-15","Saved example — moderate empty page","Dashboard — DTR voltage unbalance list","dtrvoltageunbalancedetails",""
"","897","Consumption Pattern — Zero Consumption: household and non-household lists are the same (connection type filter is not applied)","commericial-analysis","2026-09-15","passed","2026-09-15","Consumption Pattern — Zero Consumption: household and non-household lists are the same (connection type filter is not applied)","Consumption Pattern report","consumptionpattern",""
"","45","Consumer report DP — Oct 2025 fixture","reports","2026-09-15","passed","2026-09-15","Consumer report DP — Oct 2025 fixture","Consumer report","consumerreport",""
"","892","Network search — limit 0 is rejected","utils-lookup","2026-09-15","passed","2026-09-15","UTILS-LOOKUP › utils › lookup-catalog.harness.ts › Network search › Network search — limit 0 is rejected","indoore_backend_testing","modules/UTILS-LOOKUP/tests/networksearch.api",""
"","1807","DTR event — missing toDate is rejected","reports","2026-09-15","passed","2026-09-15","DTR event — missing toDate is rejected","DTR event report","dtrevent",""
"","1027","DTR communication list — meters that are communicating","dashboard","2026-09-15","passed","2026-09-15","DTR communication list — meters that are communicating","Dashboard — DTR communication list","dtrcommunicationdetails",""
"","515","Current problems — by meter type, day by day, DTR meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Current problems — by meter type, day by day, DTR meters only","Current problems","eventdatacurrent",""
"","40","Power quality — sample: single-phase meter","consumers","2026-09-15","passed","2026-09-15","Power quality — sample: single-phase meter","Power quality","powerquality",""
"","1590","Validate sent invitations list — status=expired","auth","2026-09-15","passed","2026-09-15","Validate sent invitations list — status=expired","Auth Sent Invitations List API","invite-list",""
"","247","Talking vs not talking overview — all meters equals consumer plus DTR","mis-dashboard","2026-09-15","passed","2026-09-15","Talking vs not talking overview — all meters equals consumer plus DTR","Talking vs not talking overview","communication-overview",""
"","352","Other events — by meter type, month by month, DTR meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Other events — by meter type, month by month, DTR meters only","Other events","eventdataother",""
"","881","cannot open with a badly formed login token","dashboard","2026-09-15","passed","2026-09-15","cannot open with a badly formed login token","Consumers by category — cannot open without a valid login","consumercategorydistribution",""
"","4303","Validate POST /commands/profile-config → query-meter-job — profile_capture_period_get E2E","hes-commands","2026-09-15","passed","2026-09-15","Validate POST /commands/profile-config → query-meter-job — profile_capture_period_get E2E","HES Commands — Profile Config (E2E)","commands-profile-config",""
"","2173","Event restoration — showing 1 per page returns at most 1 record","reports","2026-09-15","passed","2026-09-15","Event restoration — showing 1 per page returns at most 1 record","Event restoration report","eventrestoration",""
"","1772","Other events — by consumer category, day by day, all meters","mis-dashboard","2026-09-15","passed","2026-09-15","Other events — by consumer category, day by day, all meters","Other events","eventdataother",""
"","1473","Min-max voltage — column and field names stay the same","reports","2026-09-15","passed","2026-09-15","Min-max voltage — column and field names stay the same","Reports — contract snapshots","reports.contract",""
"","885","cannot open with an expired login token","dashboard","2026-09-15","passed","2026-09-15","cannot open with an expired login token","Consumers by meter phase — cannot open without a valid login","consumerphasedistribution",""
"","888","Billing MD snapshot — invalid year is rejected","reports","2026-09-15","passed","2026-09-15","Billing MD snapshot — invalid year is rejected","Billing MD snapshot report","billingmdsnapshot",""
"","912","Transformer load — leaving out the start date is rejected","dtr-load","2026-09-15","passed","2026-09-15","Transformer load — leaving out the start date is rejected","Transformer load reports","dtrload",""
"","1789","Energy flow chart — weekly view","consumers","2026-09-15","passed","2026-09-15","Energy flow chart — weekly view","Energy flow chart","energyflow",""
"","805","Talking meters by category — consumer and DTR stay within all meters","mis-dashboard","2026-09-15","passed","2026-09-15","Talking meters by category — consumer and DTR stay within all meters","Talking meters by category","communication-category",""
"","292","Urgency level 2 events — week by week, consumer meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Urgency level 2 events — week by week, consumer meters only","Urgency level events","eventpriority",""
"","979","Voltage problems — by consumer category, day by day, all meters","mis-dashboard","2026-09-15","passed","2026-09-15","Voltage problems — by consumer category, day by day, all meters","Voltage problems","eventdatavoltage",""
"","351","How meters are talking — dtrs is treated as DTR meters","mis-dashboard","2026-09-15","passed","2026-09-15","How meters are talking — dtrs is treated as DTR meters","How meters are talking","communication",""
"","2224","Daily consumption — page 2 continues without repeating a meter","consumption","2026-09-15","passed","2026-09-15","Daily consumption — page 2 continues without repeating a meter","Consumption API — Edge","consumption-edge",""
"","59","Sample loading gauge — kVA values without a rated size percent","dtrs","2026-09-15","passed","2026-09-15","Sample loading gauge — kVA values without a rated size percent","DTR loading gauge","dtrcapacitygauge",""
"","1963","Event restoration — 1–30 Oct 2025 first page shows columns and occurrences","reports","2026-09-15","passed","2026-09-15","Event restoration — 1–30 Oct 2025 first page shows columns and occurrences","Event restoration report","eventrestoration",""
"","481","Meter transaction events — by meter type, day by day, consumer meters only","mis-dashboard","2026-09-15","passed","2026-09-15","Meter transaction events — by meter type, day by day, consumer meters only","Meter transaction events","eventdatatransaction",""
